condition_id,model,pmse_mean,pmse_std,n
22,hist_gbrt,0.5312603429901741,,1
22,knn,0.7635931187952218,,1
22,lasso,0.3173527717590332,,1
22,rf,0.6408593527274942,,1
22,ridge,0.31734204292297363,,1
23,elastic_net,0.05086903274059296,,1
23,extra_trees,0.17062135121567218,,1
23,gbrt,0.1686484128957992,,1
23,hist_gbrt,0.17334856280103536,,1
23,knn,0.2584048010591513,,1
23,lasso,0.05142418295145035,,1
23,rf,0.20299608764138688,,1
23,ridge,0.05349024385213852,,1
