condition_id,model,pmse_mean,pmse_std,n
43,hist_gbrt,0.28998003091345825,,1
43,knn,0.34005240278773335,,1
43,lasso,0.19770337641239166,,1
43,rf,0.26296289221760505,,1
43,ridge,0.19589094817638397,,1
44,elastic_net,0.2043744921684265,,1
44,extra_trees,0.14096322869653538,,1
44,gbrt,0.12491320373877603,,1
44,hist_gbrt,0.12708082116607136,,1
44,knn,0.21075562476494167,,1
44,lasso,0.2051154226064682,,1
44,rf,0.17463472788087972,,1
44,ridge,0.2059415876865387,,1
45,elastic_net,0.40234261751174927,,1
45,extra_trees,0.4163499934623493,,1
45,gbrt,0.5034422374902322,,1
45,hist_gbrt,0.4890547116235698,,1
45,knn,0.4757396594521617,,1
45,lasso,0.40159016847610474,,1
45,rf,0.40357026996073275,,1
45,ridge,0.39798659086227417,,1
46,elastic_net,0.0007405338110402226,,1
46,extra_trees,0.10419698365477345,,1
46,gbrt,0.12231885873553017,,1
46,hist_gbrt,0.15978778431515525,,1
46,knn,0.24160988145450438,,1
46,lasso,0.0011598010314628482,,1
46,rf,0.14772309570106287,,1
46,ridge,0.0031011838000267744,,1
47,elastic_net,0.09237903356552124,,1
47,extra_trees,0.3238886513350038,,1
47,gbrt,0.3112453128301638,,1
47,hist_gbrt,0.2925007545681525,,1
47,knn,0.49566570710299185,,1
47,lasso,0.09068968892097473,,1
47,rf,0.3573594452846657,,1
47,ridge,0.11162114143371582,,1
48,elastic_net,0.36491858959198,,1
48,extra_trees,0.3876886010839995,,1
48,gbrt,0.5875437971973837,,1
48,hist_gbrt,0.38597409861312915,,1
48,knn,0.4279290580964334,,1
48,lasso,0.3644667863845825,,1
48,rf,0.42634544927794665,,1
48,ridge,0.3638511896133423,,1
49,elastic_net,0.17698396742343903,,1
49,extra_trees,0.24468766281167742,,1
49,gbrt,0.2524044347062375,,1
49,hist_gbrt,0.24595985918614158,,1
49,knn,0.41138093758362776,,1
49,lasso,0.17665447294712067,,1
49,rf,0.26618835494662296,,1
49,ridge,0.17517295479774475,,1
50,elastic_net,0.7911957502365112,,1
50,extra_trees,0.8741815866634188,,1
50,gbrt,0.8571614882397877,,1
50,hist_gbrt,0.916299193100397,,1
50,knn,0.9325872623316761,,1
50,lasso,0.7907696962356567,,1
50,rf,0.8314688674703733,,1
50,ridge,0.7906842231750488,,1
51,elastic_net,0.4247746169567108,,1
51,extra_trees,0.5158776841649305,,1
51,gbrt,0.5751784155529769,,1
51,hist_gbrt,0.5163186774834272,,1
51,knn,0.6299142413763954,,1
51,lasso,0.4250919222831726,,1
51,rf,0.5326449044645053,,1
51,ridge,0.42463064193725586,,1
52,elastic_net,0.22203300893306732,,1
52,extra_trees,0.44430141577510274,,1
52,gbrt,0.36363522971550366,,1
52,hist_gbrt,0.31574299537243766,,1
52,knn,0.4466818025673093,,1
52,lasso,0.22185271978378296,,1
52,rf,0.4649410239242808,,1
52,ridge,0.22132015228271484,,1
53,elastic_net,0.2472131848335266,,1
53,extra_trees,0.3065379952913271,,1
53,gbrt,0.33940007828333574,,1
53,hist_gbrt,0.3253491110028436,,1
53,knn,0.37221698111089346,,1
53,lasso,0.24651756882667542,,1
53,rf,0.367900785049854,,1
53,ridge,0.24708637595176697,,1
54,elastic_net,0.6856811046600342,,1
54,extra_trees,0.7259538914451148,,1
54,gbrt,0.7694302118900694,,1
54,hist_gbrt,0.831327697973639,,1
54,knn,0.811199876798124,,1
54,lasso,0.6858015656471252,,1
54,rf,0.7489638839489278,,1
54,ridge,0.685579776763916,,1
55,elastic_net,0.355733186006546,,1
55,extra_trees,0.5893203247707757,,1
55,gbrt,0.49365234518831835,,1
55,hist_gbrt,0.479078198482272,,1
55,knn,0.6861145671219381,,1
55,lasso,0.355604350566864,,1
55,rf,0.6073579000294212,,1
55,ridge,0.3542851209640503,,1
56,elastic_net,0.43833813071250916,,1
56,extra_trees,0.6271510710160929,,1
