condition_id,difficulty_pmse,difficulty_pmse_std,n_models,seq_len,train_size,num_features,num_causes,num_layers,hidden_dim,generation_mode,y_is_effect,in_clique,sort_features,first_nonlinearity,per_layer_activation,noise_std,init_std,sampling
111,0.3067031826950268,0.026135816747446024,8,512,0.5,10,20,5,16,causal,True,True,False,tanh,False,0.03,1.2,uniform
112,0.1648999759905166,0.13245321505004942,8,512,0.7,20,20,2,16,causal,False,False,True,tanh,False,0.03,1.2,uniform
113,0.2453572383307726,0.046400197952314266,8,256,0.7,10,10,5,64,head,False,True,False,relu,True,0.03,1.2,uniform
114,0.8949861612188443,0.04079313875788049,8,256,0.5,10,10,5,64,roots,False,False,False,tanh,True,0.005,0.5,normal
115,0.5159288873941057,0.02724710612429611,8,256,0.7,10,10,2,64,head,True,True,True,relu,True,0.03,0.5,normal
116,0.4532045017647822,0.062082946087231125,8,512,0.5,10,20,5,64,head,False,False,False,relu,True,0.03,0.5,normal
117,0.11023795313245602,0.09398289677436794,8,512,0.5,20,10,2,16,causal,True,False,True,tanh,True,0.03,1.2,uniform
118,0.48586921978621517,0.04830146364862408,8,512,0.5,10,10,5,64,causal,True,False,False,relu,False,0.03,1.2,normal
119,0.09718138498254468,0.059298023245431174,8,512,0.5,20,20,5,64,head,True,False,False,relu,False,0.005,1.2,uniform
120,0.23376317216827636,0.1370144864508941,8,256,0.5,20,10,2,64,causal,False,True,False,gelu,False,0.005,0.5,uniform
121,0.34570701988996694,0.07817295946019522,8,256,0.5,10,10,2,16,roots,False,True,False,tanh,False,0.03,1.2,normal
122,0.6173709798302858,0.06089602093631469,8,512,0.5,10,10,5,16,roots,False,True,True,gelu,False,0.005,1.2,normal
123,0.6293543751287036,0.01999237176253502,8,512,0.5,10,20,5,64,causal,False,True,False,gelu,False,0.03,1.2,normal
124,0.11521003206227085,0.09719981018296671,8,256,0.7,20,20,5,16,head,False,True,True,relu,True,0.005,0.5,normal
125,0.8421370093845175,0.05582082844848904,8,256,0.7,10,10,5,64,causal,True,True,True,tanh,False,0.005,1.2,uniform
126,0.08918820109779911,0.03058732331221661,8,512,0.5,20,20,5,16,causal,True,False,False,tanh,True,0.03,1.2,uniform
127,0.11136077188016606,0.06654257338907368,8,512,0.7,20,10,2,64,head,False,False,False,gelu,True,0.03,0.5,uniform
128,0.19754957950112148,0.027170334551552665,8,512,0.7,10,10,5,64,head,True,False,True,gelu,False,0.03,1.2,uniform
129,0.32560659389173696,0.01736648320274327,8,512,0.7,10,10,5,16,causal,False,False,True,gelu,False,0.03,1.2,normal
130,0.14041813726640773,0.09473415931089968,8,256,0.5,10,20,5,16,head,True,True,True,gelu,False,0.005,0.5,normal
131,0.20742200278800374,0.03732215425239071,8,512,0.7,10,10,2,16,roots,False,False,True,tanh,False,0.005,1.2,uniform
132,0.8775136051696139,0.05641994237300768,8,512,0.5,20,20,5,64,roots,True,False,True,tanh,False,0.03,1.2,normal
133,0.43082555556232727,0.04930405493233265,8,512,0.7,10,20,2,64,causal,False,False,False,gelu,False,0.005,0.5,uniform
134,0.08980288611325618,0.06469778186950734,8,256,0.7,10,20,5,16,head,False,True,True,relu,True,0.03,1.2,uniform
