seq_len,train_size,num_features,num_causes,num_layers,hidden_dim,generation_mode,y_is_effect,in_clique,sort_features,first_nonlinearity,per_layer_activation,noise_std,init_std,sampling,difficulty_pmse
512,0.5,10,10,2,64,head,True,False,False,relu,True,0.03,0.5,uniform,0.34447750002561917
512,0.5,10,10,2,64,roots,False,False,True,gelu,True,0.03,1.2,uniform,0.13686904215837825
512,0.5,10,10,2,64,roots,True,False,True,gelu,False,0.03,0.5,normal,0.3591196168254199
512,0.5,10,10,5,16,causal,True,False,True,gelu,False,0.005,1.2,normal,0.3399244345552838
512,0.5,10,10,5,16,roots,False,True,True,gelu,False,0.005,1.2,normal,0.6173709798302858
512,0.5,10,10,5,16,roots,True,True,False,gelu,False,0.005,0.5,normal,0.5604075373327579
512,0.5,10,10,5,64,causal,True,False,False,relu,False,0.03,0.5,uniform,0.21878002382069267
512,0.5,10,10,5,64,causal,True,False,False,relu,False,0.03,1.2,normal,0.48586921978621517
512,0.5,10,10,5,64,causal,True,True,True,gelu,False,0.03,1.2,uniform,0.38842499741053443
512,0.5,10,20,2,16,head,False,True,True,gelu,True,0.03,1.2,uniform,0.20909892071466485
512,0.5,10,20,2,16,head,False,True,True,relu,True,0.03,0.5,uniform,0.19493096452507644
512,0.5,10,20,2,64,causal,True,False,False,relu,True,0.03,0.5,normal,0.7601631485189182
512,0.5,10,20,2,64,head,True,False,False,tanh,True,0.03,0.5,uniform,0.5586117643608834
512,0.5,10,20,2,64,head,True,True,False,relu,True,0.005,0.5,uniform,0.5404788224261134
512,0.5,10,20,5,16,causal,False,True,True,gelu,True,0.03,1.2,normal,0.35778583553736426
512,0.5,10,20,5,16,causal,True,False,False,gelu,False,0.03,0.5,normal,0.222422380699827
512,0.5,10,20,5,16,causal,True,True,False,tanh,False,0.03,1.2,uniform,0.3067031826950268
512,0.5,10,20,5,64,causal,False,False,False,tanh,True,0.005,1.2,normal,0.7334071908713177
512,0.5,10,20,5,64,causal,False,False,True,tanh,True,0.005,0.5,normal,0.6533650854524508
512,0.5,10,20,5,64,causal,False,True,False,gelu,False,0.03,1.2,normal,0.6293543751287036
512,0.5,10,20,5,64,causal,True,False,False,gelu,False,0.03,1.2,normal,0.7127386073408141
512,0.5,10,20,5,64,head,False,False,False,relu,True,0.03,0.5,normal,0.4532045017647822
